Feature	Gain	Cover	Frequency
ctrx_quarter	0.214632009806262	0.0261360234103796	0.0288552033480847
mcaja_ahorro	0.0516486969815016	0.0213507990009476	0.03103786619676
mcuentas_saldo	0.0412812769865069	0.0213605477537256	0.0283545926029756
cpayroll_trx	0.0380761926764989	0.0147642887912837	0.00678828170367849
mcuenta_corriente	0.0363492447962473	0.0239503942113304	0.0236288271691464
mtarjeta_visa_consumo	0.0319547339705626	0.0199253602162275	0.0184224754200124
mrentabilidad_annual	0.0287987466381951	0.0284300318915779	0.0316586235206953
Master_Fvencimiento	0.0207196310996759	0.0166681026919764	0.0287951300586716
cliente_edad	0.0201476722055611	0.0219546373055821	0.0323394541340435
mactivos_margen	0.0195081724312284	0.0185178331027742	0.0247902440977993
mpasivos_margen	0.0180190196156198	0.017466494664156	0.027934079577084
Master_fechaalta	0.0173048661118265	0.0247387747333683	0.0259116121668436
numero_de_cliente	0.0163722317276094	0.0161653010101176	0.0270329802358878
Visa_mpagominimo	0.0161808279009111	0.0204050241576335	0.0237289493181682
Visa_Fvencimiento	0.0157991350168654	0.02175871868398	0.0263721740523439
mpayroll	0.0157779957821122	0.0153269543772727	0.0107330943751377
Visa_fechaalta	0.0154098412865374	0.0147967517520303	0.0236288271691464
mrentabilidad	0.0153212415933463	0.0153127451304827	0.0218666773463626
chomebanking_transacciones	0.0150653877432109	0.0131859869467524	0.0244097799315165
Master_mfinanciacion_limite	0.012418189869968	0.0177071200881207	0.0219267506357756
ctarjeta_visa_transacciones	0.0123533973814817	0.0121525108566307	0.0165001301587937
mprestamos_personales	0.0123109064921454	0.0187140347941886	0.0091111155609844
mtransferencias_recibidas	0.011908960462299	0.0131425410917355	0.0178217425258816
Visa_mpagospesos	0.0113238094300748	0.018736591383739	0.0206051382686878
cliente_antiguedad	0.0109909972014603	0.0189905982897396	0.0235487294499289
Visa_mfinanciacion_limite	0.0105602531523939	0.00913677192738085	0.016900618754881
cdescubierto_preacordado	0.00994376519071714	0.00760237807077979	0.00342417749654579
Visa_msaldopesos	0.00977087429014886	0.0107235701552176	0.0152786399407277
Visa_mconsumospesos	0.00964792021390362	0.00766273198591081	0.0175013516490118
mcaja_ahorro_dolares	0.00899476732079924	0.0126348403721024	0.0160195438434891
Visa_msaldototal	0.008717005759978	0.00977801511990168	0.0137367588457919
mcomisiones_mantenimiento	0.00868657773542125	0.0146950074547239	0.0113939005586816
mcuenta_debitos_automaticos	0.00826219673041175	0.0120958850995957	0.00995214161276758
Visa_cconsumos	0.00825455875114624	0.00839818595868802	0.0134363923987264
mcomisiones	0.00781458220219994	0.00875935194438933	0.0147780291956187
mttarjeta_visa_debitos_automaticos	0.00729342044101043	0.00914862547577079	0.0123750976190953
mcomisiones_otras	0.00722183008834634	0.00678646257609122	0.0128556839344
mtransferencias_emitidas	0.00709504748256788	0.0172258499399768	0.0154388353791626
cproductos	0.00655347563485599	0.00976604255352247	0.00881074911391898
ccomisiones_otras	0.00616463739468714	0.00992867259409207	0.0101323614810068
ctarjeta_debito_transacciones	0.00613997795410626	0.0123806351027864	0.0148180780552274
mautoservicio	0.00561562704414601	0.00933614850407635	0.0123951220488997
ctransferencias_recibidas	0.00539542050499396	0.0121571890141725	0.0101724103406156
mpagomiscuentas	0.00517669105764362	0.0119404068607232	0.0096317507358978
