fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20240514 182318	-0.413951216370333	4078	1652	12	5	46359000	1
20240514 182327	-0.869550224809791	1627	273	5	5	50337000	2
20240514 182337	-0.567979321231542	6542	2596	14	5	45921000	3
20240514 182346	-0.618122950776888	7896	545	7	5	47664000	4
20240514 182353	0.0710356479030452	6251	1149	15	5	0	5
20240514 182403	-0.940138766451855	7424	1928	17	5	46854000	6
20240514 182409	-0.358503152734193	3915	14	3	5	45606000	7
20240514 182418	-0.1847899117714	5927	1743	8	5	45945000	8
20240514 182427	-0.767367362857072	7014	3234	10	5	47370000	9
20240514 182434	-0.673091352164435	7238	2972	4	5	46776000	10
20240514 182445	-0.486539169512172	2926	841	19	5	46500000	11
20240514 182459	-0.926898600810414	993	381	18	5	50259000	12
20240514 182506	-0.387054007133055	4530	2239	5	5	45174000	13
20240514 182515	-0.294955112528987	5404	699	7	5	45498000	14
20240514 182524	-0.29137584521668	6979	2685	11	5	45675000	15
20240514 182536	-0.943893145653419	1987	230	13	5	49839000	16
20240514 182549	-0.749738213867876	2594	378	15	5	47238000	17
20240514 182600	-0.880951839033896	3141	1569	10	5	47016000	18
20240514 182607	-0.839222310397864	7993	4	3	5	46617000	19
20240514 182618	-0.922154806210895	10	3	7	5	47508000	20
20240514 182635	-0.877721548251374	3810	1	20	5	44481000	21
20240514 182643	-0.786194176053488	1316	654	3	5	47259000	22
20240514 182658	-0.999965902859458	1420	705	18	5	50604000	23
20240514 182705	-0.999395584782857	7996	3996	3	5	46827000	24
20240514 182717	-0.581966104582472	777	2	10	5	49599000	25
20240514 182725	-0.225352633285399	11	3	4	5	46542000	26
20240514 182736	-0.46950753420722	12	4	8	5	45681000	27
20240514 182750	-0.634009599940047	902	449	17	5	48708000	28
20240514 182800	-0.999704624041826	7982	3991	20	5	46845000	29
20240514 182807	-0.616420079707708	2605	1	3	5	45606000	30
20240514 182821	-0.85413560057273	845	391	13	5	49215000	31
20240514 182828	-0.209226276657013	7999	3988	3	5	46848000	32
20240514 182840	-0.965100561740087	1521	757	18	5	50325000	33
20240514 182847	-0.999989098385143	7799	541	3	5	46512000	34
20240514 182854	-0.861351252633784	7987	3992	3	5	46842000	35
20240514 182904	-0.468470601601319	8000	3998	9	5	46827000	36
20240514 182919	-0.5584520330767	1418	2	15	5	49158000	37
20240514 182938	-0.3518662157433	465	3	20	5	44685000	38
20240514 182948	-0.682916272818358	8000	3980	11	5	46848000	39
20240514 183006	-0.999788806051549	1144	21	20	5	43929000	40
20240514 183020	-0.99992343708265	631	175	16	5	50184000	41
20240514 183032	-0.575814404142938	6899	2	11	5	45714000	42
20240514 183041	-0.927921883391066	7999	2585	6	5	46947000	43
20240514 183049	-0.999921038077509	1936	1	4	5	45546000	44
20240514 183058	-0.791839726265242	3319	232	6	5	46839000	45
20240514 183110	-0.999097279726997	1922	958	16	5	48831000	46
20240514 183125	-0.585841555925429	44	4	13	5	39600000	47
20240514 183137	-0.369430768525369	1608	249	8	5	51432000	48
20240514 183148	-0.851792432633673	1402	8	9	5	49164000	49
20240514 183200	-0.356777299438155	2022	998	10	5	48126000	50
20240514 183209	-0.545399768412556	1333	11	6	5	48414000	51
20240514 183221	-0.597259768550111	2033	272	9	5	48945000	52
20240514 183234	-0.898878406204357	1020	1	11	5	47580000	53
20240514 183244	-0.233976481617124	1397	2	8	5	49539000	54
20240514 183259	-0.999955508286934	353	159	14	5	44328000	55
20240514 183309	-0.884436185266768	6604	3290	13	5	47370000	56
20240514 183326	-0.974249131194782	1134	2	17	5	48633000	57
20240514 183338	-0.983322670916842	781	251	7	5	52347000	58
20240514 183346	-0.999936245966207	7220	1970	4	5	46743000	59
20240514 183400	-0.297702518226486	1418	234	16	5	50514000	60
20240514 183407	-0.999632459414121	4990	1764	3	5	45486000	61
20240514 183414	-0.999397227139482	5278	400	3	5	45486000	62
20240514 183424	-0.997614044383238	5033	2513	19	5	45921000	63
20240514 183435	-0.949215955273097	7999	1842	12	5	46872000	64
20240514 183445	-0.874232596069171	806	403	7	5	52191000	65
20240514 183456	-0.51539762715945	6120	2407	8	5	45921000	66
20240514 183506	-0.950159471109076	8000	2388	20	5	47049000	67
20240514 183517	-0.998808657818065	1325	656	7	5	50109000	68
20240514 183524	-0.257476234774756	8000	1741	3	5	46512000	69
20240514 183534	-0.545838498925316	7996	3997	20	5	46827000	70
20240514 183547	-0.388248413584906	1535	266	12	5	50439000	71
20240514 183555	-0.219576159584165	3752	729	5	5	47520000	72
20240514 183607	-0.947500932443509	4523	376	13	5	44151000	73
20240514 183615	0.0994673715901509	803	313	7	5	0	74
20240514 183629	-0.553306480156169	7998	181	20	5	47169000	75
20240514 183642	-0.959469315748153	1568	373	16	5	50277000	76
20240514 183653	-0.789083744163579	6677	3336	20	5	47487000	77
20240514 183701	-0.213921480804652	5761	2877	3	5	46383000	78
20240514 183712	-0.334861351489129	977	2	9	5	49344000	79
20240514 183723	-0.659558849456423	8000	1939	18	5	46839000	80
20240514 183738	-0.409232751133057	1709	115	17	5	47907000	81
20240514 183747	-0.22431897151053	7934	3299	7	5	46935000	82
20240514 183758	-0.946213878394256	813	342	8	5	51324000	83
20240514 183805	-0.287106561592848	925	366	3	5	48531000	84
20240514 183819	-0.999783407746596	7997	153	19	5	47070000	85
20240514 183829	-0.952332155845635	742	286	6	5	50100000	86
20240514 183839	-0.843269154436957	907	204	7	5	51009000	87
20240514 183850	-0.270083612870007	5778	2888	20	5	46224000	88
20240514 183903	-0.217196178893328	1508	682	20	5	50553000	89
20240514 183921	-0.242258252866809	3669	1	20	5	44481000	90
20240514 183931	-0.880093811009874	7998	240	8	5	47217000	91
20240514 183943	-0.4785869451684	1485	238	10	5	50607000	92
20240514 183951	-0.386370445199285	819	212	5	5	50448000	93
20240514 184005	-0.27562609693373	1480	738	19	5	50322000	94
20240514 184016	-0.579266396215146	4195	2095	20	5	45570000	95
20240514 184027	-0.527608584691543	8000	1728	12	5	46971000	96
20240514 184035	-0.203601044090766	7726	3	5	5	47013000	97
20240514 184047	-0.894443812256428	874	252	7	5	53007000	98
20240514 184057	-0.896553021974923	1584	210	7	5	50790000	99
20240514 184107	-0.999958241050145	7991	3969	9	5	46848000	100
20240514 184118	-0.361491666362613	7987	3992	16	5	46842000	101
20240514 184128	-0.870916868947916	7988	3983	18	5	46848000	102
20240514 184140	-0.297554091501874	8000	1596	20	5	47418000	103
20240514 184153	-0.383361437293717	1374	685	16	5	50517000	104
20240514 184205	-0.758412673078369	8000	210	13	5	47217000	105
20240514 184217	-0.866287308983388	6814	883	19	5	46638000	106
20240514 184227	-0.390689057765745	3064	2	8	5	47904000	107
20240514 184238	-0.207404763901603	8000	3998	20	5	46827000	108
20240514 184246	-0.890350195350085	818	200	4	5	49140000	109
20240514 184255	-0.726440531279463	6635	299	5	5	46191000	110
20240514 184306	-0.368147748425289	1012	271	7	5	52359000	111
20240514 184316	-0.254015700994948	8000	268	8	5	47217000	112
20240514 184327	-0.413113462137937	1047	496	8	5	49470000	113
20240514 184336	-0.29439388584307	1521	1	5	5	48162000	114
20240514 184350	-0.20761599146328	903	448	18	5	48435000	115
20240514 184403	-0.357715411520749	2124	272	13	5	49257000	116
